y,z,vy,vz
0.000522971,0,0,3.09913e+07
0.000514221,0.0309909,-8749.78,3.09909e+07
0.000496802,0.0619806,-17419.2,3.09897e+07
0.000470873,0.0929681,-25928.6,3.09876e+07
0.000436673,0.123953,-34199.6,3.09847e+07
0.000394517,0.154934,-42156.2,3.0981e+07
0.000344792,0.18591,-49725,3.09766e+07
0.000287956,0.216882,-56836.5,3.09715e+07
0.00022453,0.247848,-63425.3,3.09657e+07
0.0001551,0.278807,-69430.7,3.09593e+07
8.03023e-05,0.309759,-74797.4,3.09524e+07
8.26311e-07,0.340704,-79476,3.0945e+07
-8.25973e-05,0.371642,-83423.6,3.09372e+07
-0.000169201,0.402571,-86603.7,3.0929e+07
-0.000258188,0.433491,-88987.1,3.09206e+07
-0.00034874,0.464403,-90551.9,3.0912e+07
-0.000440024,0.495306,-91283.5,3.09032e+07
-0.000531199,0.526201,-91175.4,3.08945e+07
-0.000621427,0.557087,-90228.4,3.08858e+07
-0.000709879,0.587964,-88451.3,3.08772e+07
-0.000795739,0.618833,-85860.3,3.08688e+07
-0.000878218,0.649693,-82479.4,3.08607e+07
-0.000956558,0.680546,-78339.5,3.0853e+07
-0.00103004,0.711392,-73478.8,3.08457e+07
-0.00109798,0.742231,-67942,3.08389e+07
-0.00115976,0.773064,-61779.9,3.08327e+07
-0.00121481,0.803891,-55049.4,3.08271e+07
-0.00126262,0.834713,-47812.2,3.08222e+07
-0.00130276,0.865531,-40135,3.08179e+07
-0.00133484,0.896346,-32088.4,3.08145e+07
-0.00135859,0.927157,-23746.4,3.08118e+07
-0.00137378,0.957967,-15185.7,3.08099e+07
-0.00138026,0.988776,-6485.15,3.08089e+07
-0.00137799,1.01958,2275.26,3.08087e+07
