y,z,vy,vz
0,0,0,3
0,0.03015,-0.02,2.9999
-0.000201,0.060299,-0.039998,2.9996
-0.00060298,0.090445,-0.059992,2.9991
-0.0012059,0.120586,-0.07998,2.9984
-0.0020097,0.15072,-0.09996,2.9975
-0.0030143,0.180845,-0.11993,2.9964
-0.00421959,0.210959,-0.139888,2.9951
-0.00562547,0.241059,-0.159832,2.9936
-0.00723178,0.271145,-0.17976,2.99191
-0.00903837,0.301214,-0.19967,2.99001
-0.0110451,0.331263,-0.21956,2.98791
-0.0132516,0.361292,-0.239428,2.98562
-0.0156579,0.391297,-0.259273,2.98312
-0.0182636,0.421278,-0.279091,2.98043
-0.0210684,0.451231,-0.298881,2.97754
-0.0240722,0.481155,-0.318642,2.97445
-0.0272745,0.511049,-0.33837,2.97117
-0.0306752,0.540909,-0.358065,2.96769
-0.0342737,0.570734,-0.377724,2.96401
-0.0380698,0.600522,-0.397345,2.96013
-0.0420632,0.630272,-0.416927,2.95606
-0.0462533,0.65998,-0.436466,2.95179
-0.0506398,0.689646,-0.455963,2.94733
-0.0552222,0.719266,-0.475413,2.94267
-0.0600001,0.74884,-0.494816,2.93782
-0.064973,0.778365,-0.514169,2.93278
-0.0701404,0.80784,-0.533472,2.92754
-0.0755018,0.837261,-0.55272,2.92211
-0.0810566,0.866629,-0.571914,2.91649
-0.0868044,0.895939,-0.59105,2.91067
-0.0927444,0.925191,-0.610127,2.90466
-0.0988762,0.954383,-0.629143,2.89847
-0.105199,0.983513,-0.648096,2.89208
-0.111712,1.01258,-0.666985,2.88551
-0.118416,1.04158,-0.685807,2.87874
-0.125308,1.07051,-0.70456,2.87179
-0.132389,1.09937,-0.723242,2.86465
-0.139657,1.12816,-0.741853,2.85732
-0.147113,1.15688,-0.760389,2.84981
-0.154755,1.18552,-0.778849,2.84212
-0.162582,1.21408,-0.797231,2.83424
-0.170595,1.24256,-0.815534,2.82617
-0.178791,1.27097,-0.833755,2.81793
-0.18717,1.29929,-0.851892,2.8095
-0.195731,1.32752,-0.869945,2.80089
-0.204474,1.35567,-0.88791,2.7921
-0.213398,1.38373,-0.905787,2.78313
-0.222501,1.4117,-0.923573,2.77398
-0.231783,1.43958,-0.941266,2.76466
-0.241243,1.46737,-0.958866,2.75516
-0.250879,1.49506,-0.976369,2.74548
-0.260692,1.52265,-0.993775,2.73563
-0.270679,1.55014,-1.01108,2.72561
-0.280841,1.57753,-1.02829,2.71541
-0.291175,1.60482,-1.04539,2.70504
-0.301681,1.63201,-1.06239,2.6945
-0.312358,1.65909,-1.07928,2.68379
-0.323205,1.68606,-1.09606,2.67291
-0.33422,1.71292,-1.11274,2.66187
-0.345403,1.73968,-1.1293,2.65066
-0.356753,1.76631,-1.14575,2.63928
-0.368268,1.79284,-1.16209,2.62775
-0.379947,1.81925,-1.17831,2.61604
-0.391789,1.84554,-1.19441,2.60418
-0.403792,1.87171,-1.21039,2.59215
-0.415957,1.89776,-1.22625,2.57997
-0.428281,1.92369,-1.24199,2.56763
-0.440763,1.9495,-1.2576,2.55513
-0.453401,1.97517,-1.27309,2.54248
-0.466196,2.00073,-1.28845,2.52967
-0.479145,2.02615,-1.30369,2.51671
-0.492247,2.05144,-1.31879,2.5036
-0.505501,2.0766,-1.33376,2.49033
-0.518905,2.10163,-1.34859,2.47692
-0.532458,2.12652,-1.3633,2.46336
-0.54616,2.15128,-1.37786,2.44965
-0.560007,2.1759,-1.39229,2.4358
-0.574,2.20038,-1.40658,2.42181
-0.588136,2.22472,-1.42073,2.40767
-0.602414,2.24892,-1.43473,2.39339
-0.616833,2.27297,-1.44859,2.37898
-0.631391,2.29688,-1.46231,2.36442
-0.646088,2.32064,-1.47588,2.34973
-0.66092,2.34426,-1.48931,2.3349
-0.675888,2.36772,-1.50258,2.31995
-0.690989,2.39104,-1.5157,2.30485
-0.706222,2.4142,-1.52868,2.28963
-0.721585,2.43721,-1.5415,2.27428
-0.737077,2.46007,-1.55416,2.2588
-0.752696,2.48277,-1.56667,2.2432
-0.768441,2.50531,-1.57903,2.22747
-0.78431,2.5277,-1.59122,2.21162
-0.800302,2.54993,-1.60326,2.19564
-0.816415,2.57199,-1.61513,2.17955
-0.832647,2.5939,-1.62685,2.16334
-0.848997,2.61564,-1.6384,2.14701
-0.865463,2.63722,-1.64979,2.13057
-0.882043,2.65863,-1.66101,2.11402
-0.898736,2.67987,-1.67207,2.09735
