y,z,vy,vz
0,0,0,3
0,0.0352008,-0.0233328,2.99987
-0.000273778,0.0703999,-0.0466626,2.99946
-0.000821297,0.105594,-0.069986,2.99878
-0.00164248,0.140781,-0.0933,2.99783
-0.00273723,0.175956,-0.116601,2.99661
-0.00410538,0.211117,-0.139887,2.99512
-0.00574675,0.246261,-0.163153,2.99335
-0.00766113,0.281383,-0.186398,2.99132
-0.00984824,0.316482,-0.209617,2.98901
-0.0123078,0.351554,-0.232808,2.98643
-0.0150395,0.386596,-0.255967,2.98358
-0.0180429,0.421604,-0.279091,2.98047
-0.0213176,0.456575,-0.302177,2.97708
-0.0248632,0.491507,-0.325222,2.97342
-0.0286793,0.526396,-0.348223,2.96949
-0.0327652,0.561239,-0.371177,2.9653
-0.0371204,0.596032,-0.39408,2.96084
-0.0417444,0.630774,-0.41693,2.95611
-0.0466365,0.665459,-0.439723,2.95112
-0.051796,0.700087,-0.462456,2.94586
-0.0572223,0.734652,-0.485127,2.94033
-0.0629145,0.769153,-0.507731,2.93454
-0.068872,0.803585,-0.530266,2.92849
-0.075094,0.837947,-0.55273,2.92217
-0.0815795,0.872235,-0.575118,2.9156
-0.0883277,0.906445,-0.597428,2.90876
-0.0953376,0.940575,-0.619656,2.90166
-0.102608,0.974622,-0.6418,2.89431
-0.110139,1.00858,-0.663857,2.88669
-0.117928,1.04245,-0.685824,2.87882
-0.125976,1.07623,-0.707698,2.8707
-0.134279,1.10992,-0.729475,2.86232
-0.142839,1.1435,-0.751153,2.85368
-0.151653,1.17699,-0.772728,2.8448
-0.160719,1.21037,-0.794199,2.83566
-0.170038,1.24364,-0.815562,2.82627
-0.179608,1.2768,-0.836813,2.81663
-0.189426,1.30985,-0.857951,2.80675
-0.199493,1.34278,-0.878972,2.79662
-0.209807,1.3756,-0.899874,2.78625
-0.220366,1.40829,-0.920653,2.77563
-0.231168,1.44086,-0.941307,2.76477
-0.242213,1.4733,-0.961832,2.75367
-0.253499,1.50561,-0.982227,2.74233
-0.265024,1.53779,-1.00249,2.73076
-0.276787,1.56983,-1.02261,2.71895
-0.288786,1.60173,-1.0426,2.7069
-0.301019,1.63349,-1.06244,2.69462
-0.313485,1.66511,-1.08214,2.68212
-0.326183,1.69658,-1.10169,2.66938
-0.339109,1.7279,-1.1211,2.65641
