y,z,vy,vz
0,0,0,3
-0.0002,0.03,-0.02,3
-0.0006,0.059998,-0.04,2.9998
-0.00119998,0.089992,-0.059998,2.9994
-0.0019999,0.11998,-0.079992,2.9988
-0.0029997,0.14996,-0.09998,2.998
-0.0041993,0.17993,-0.11996,2.997
-0.0055986,0.209888,-0.13993,2.9958
-0.00719748,0.239832,-0.159888,2.9944
-0.0089958,0.26976,-0.179832,2.9928
-0.0109934,0.29967,-0.19976,2.991
-0.0131901,0.32956,-0.21967,2.98901
-0.0155857,0.359428,-0.23956,2.98681
-0.01818,0.389272,-0.259428,2.98441
-0.0209727,0.419091,-0.279272,2.98182
-0.0239636,0.448881,-0.299091,2.97903
-0.0271524,0.478641,-0.318881,2.97604
-0.0305388,0.50837,-0.338641,2.97285
-0.0341225,0.538064,-0.35837,2.96946
-0.0379032,0.567723,-0.378064,2.96588
-0.0418804,0.597344,-0.397723,2.9621
-0.0460538,0.626925,-0.417344,2.95812
-0.0504231,0.656465,-0.436925,2.95395
-0.0549877,0.68596,-0.456465,2.94958
-0.0597474,0.715411,-0.47596,2.94501
-0.0647015,0.744813,-0.495411,2.94025
-0.0698496,0.774166,-0.514813,2.9353
-0.0751913,0.803468,-0.534166,2.93015
-0.0807259,0.832716,-0.553468,2.92481
-0.0864531,0.861908,-0.572716,2.91927
-0.0923722,0.891044,-0.591908,2.91355
-0.0984826,0.92012,-0.611044,2.90763
-0.104784,0.949135,-0.63012,2.90152
-0.111275,0.978088,-0.649135,2.89522
-0.117956,1.00697,-0.668088,2.88872
-0.124826,1.0358,-0.686975,2.88204
-0.131884,1.06455,-0.705795,2.87517
-0.139129,1.09323,-0.724547,2.86812
-0.146561,1.12184,-0.743228,2.86087
-0.15418,1.15037,-0.761837,2.85344
-0.161984,1.17883,-0.780371,2.84582
-0.169972,1.20721,-0.798829,2.83802
-0.178144,1.23551,-0.81721,2.83003
-0.186499,1.26373,-0.83551,2.82186
-0.195036,1.29186,-0.853728,2.8135
-0.203755,1.31991,-0.871863,2.80496
-0.212654,1.34788,-0.889913,2.79625
-0.221733,1.37575,-0.907876,2.78735
-0.23099,1.40353,-0.925749,2.77827
