from,to,num
0,2.38774e-05,113
2.38774e-05,4.77548e-05,304
4.77548e-05,7.16321e-05,447
7.16321e-05,9.55095e-05,657
9.55095e-05,0.000119387,856
0.000119387,0.000143264,1014
0.000143264,0.000167142,1215
0.000167142,0.000191019,1377
0.000191019,0.000214896,1541
0.000214896,0.000238774,1663
0.000238774,0.000262651,1681
0.000262651,0.000286529,1518
0.000286529,0.000310406,1341
0.000310406,0.000334283,1139
0.000334283,0.000358161,971
0.000358161,0.000382038,810
0.000382038,0.000405915,623
0.000405915,0.000429793,405
0.000429793,0.00045367,252
0.00045367,0.000477548,101
