dv_v0,y0_R
0.0258414,0.789115
0.0258557,-0.461299
0.0258593,0.880607
0.0257997,-0.194644
0.0258637,0.40501
0.0257576,0.213817
0.0259254,-0.473074
0.0258634,-0.66449
0.0259462,0.136626
0.0257861,0.0652295
0.0258133,0.966841
0.0259193,-0.123756
0.0258857,-0.845889
0.0260043,-0.592353
0.0260044,-0.921072
0.0259294,-0.797381
0.0258637,-0.0933905
0.0259593,0.29628
0.026078,-0.582382
0.0258825,0.137714
0.0260906,-0.939822
0.0258973,0.86168
0.0259512,-0.404666
0.0260703,-0.86602
0.025783,-0.0747763
0.0258337,0.827881
0.026024,-0.361643
0.0258039,0.557253
0.0259775,-0.477146
0.0258576,0.597152
0.0259323,0.215622
0.0259327,-0.428829
0.0258778,0.0141786
0.0257779,0.307696
0.0258105,0.510821
0.0258262,-0.209007
0.0257769,0.329146
0.0259758,-0.472456
0.0260317,-0.349897
0.0260631,-0.891795
0.0259565,0.115856
0.0259582,0.434289
0.0258578,-0.584442
0.0257274,0.896329
0.0258266,0.0188049
0.0259061,-0.162865
0.0257647,0.401043
0.0259079,-0.0957799
0.0256965,0.960112
0.0258796,0.851014
0.0259059,0.469595
0.0257514,0.260407
0.0260403,-0.96313
0.0260928,-0.88695
0.0260214,-0.880515
0.0259056,0.30267
0.0256797,0.878558
0.0257917,0.591293
0.0258087,0.973455
0.0257864,0.922997
0.0258154,0.948964
0.0259075,-0.233778
0.0260373,-0.289135
0.0257684,0.814319
0.0259343,-0.953139
0.0259762,-0.859144
0.0258338,0.397452
0.02593,-0.947603
0.0259901,-0.9143
0.0258889,0.949013
0.0258999,0.824731
0.0257545,0.519864
0.0259131,-0.396504
0.0260099,-0.515797
0.0258658,-0.276183
0.0260036,-0.199861
0.0259192,0.664346
0.0256999,0.787181
0.025822,-0.401585
0.0257183,0.810599
0.0258467,-0.152984
0.0259876,-0.54825
0.0259693,-0.725656
0.0258998,0.605881
0.0256815,0.913905
0.0258503,-0.576896
0.0257491,0.638754
0.0258808,0.564209
0.0260908,-0.914124
0.025725,0.463206
0.0258432,-0.145614
0.0258872,-0.407935
0.0258109,0.135917
0.0260012,-0.0328327
0.0258592,0.17691
0.0258033,0.619192
0.0257622,0.120846
0.025893,0.0270987
0.0260045,-0.444528
0.0259584,-0.603905
0.0257879,-0.117625
0.0258221,0.36758
0.026003,-0.499481
0.0260009,0.0206097
0.0259518,-0.0521545
0.0258308,-0.0512055
0.0260422,-0.339332
0.0257023,0.913099
0.0259695,0.110179
0.025821,0.0474067
0.0259853,-0.47944
0.0257687,0.338072
0.0259215,0.281584
0.0259244,-0.612814
0.0259258,-0.0909949
0.025923,-0.765669
0.0258852,0.458556
0.0257482,0.853206
0.0257087,0.627397
0.0258413,-0.199487
0.0259145,0.701049
0.0259608,-0.318765
0.0260892,-0.942351
0.0259948,-0.639893
0.0258903,0.30863
0.0258704,-0.212552
0.0258571,-0.400807
0.0259361,-0.039284
0.0257958,0.856792
0.0258806,0.844323
0.0258852,-0.87733
0.0258418,0.0641378
0.0259344,0.382075
0.0258846,-0.40708
0.0258639,-0.735185
0.0260477,-0.881845
0.0259492,-0.297209
0.0259253,-0.265408
0.0260188,-0.73738
0.0257865,0.144767
0.0259126,0.0306923
0.0258971,0.0917024
0.0259075,0.32128
0.0258483,0.615037
0.0260746,-0.606303
0.0259886,-0.797979
0.0259723,-0.518513
0.025744,0.622062
0.026054,-0.456444
0.0258698,-0.544189
0.0257076,0.850418
0.0258767,0.867709
0.0257292,0.42384
0.0257115,0.994124
0.0259457,-0.19108
0.0259248,0.20737
0.0258434,-0.195368
0.0258933,0.130358
0.0257757,0.583546
0.0260155,-0.0398444
0.0259273,0.599915
0.025673,0.980458
0.0257803,0.00407686
0.025893,0.556661
0.0260355,-0.752017
0.025792,0.168855
0.0256711,0.880869
0.0258953,0.910252
0.0259619,-0.408534
0.0258657,-0.419795
0.0258881,0.531752
0.0260326,-0.81488
0.025662,0.909134
0.026085,-0.61775
0.0258966,-0.0616863
0.0258832,-0.772222
0.025894,0.310179
0.0258756,-0.143712
0.0259243,-0.330767
0.0258604,0.91506
0.025899,-0.0452876
0.0258093,0.727162
0.0256866,0.700974
0.0258586,0.171621
0.0257756,0.340012
0.0258253,-0.21146
0.0258858,0.162783
0.0257038,0.720527
0.0258364,-0.14801
0.0258358,0.666631
0.0258432,0.397352
0.0257611,0.120585
0.025981,-0.263834
0.0258888,0.886191
0.0259606,-0.767256
0.0257731,0.876641
0.0259115,-0.691711
0.0257725,0.950559
0.02576,0.229931
0.0259401,0.433908
0.0258842,-0.735604
0.0260983,-0.7794
0.0257866,0.87929
0.0257609,0.451477
0.0260513,-0.571401
0.0258873,0.317279
0.0258639,-0.260971
0.025845,0.0202686
0.0259835,-0.134539
0.0258829,0.62791
0.0259158,0.743265
0.025919,-0.204329
0.0259515,-0.570831
0.0259184,0.0149483
0.0258644,0.76137
0.0259704,-0.665706
0.0258215,0.0960816
0.0257878,0.722307
0.0258674,-0.425273
0.025829,0.110813
0.0260677,-0.918186
0.0259282,-0.133289
0.0258086,0.434407
0.0257788,0.45542
0.0260089,-0.0433662
0.025779,0.779472
0.0258316,0.97081
0.0257404,0.963768
0.025951,-0.95183
0.0258886,0.593338
0.0258455,-0.27232
0.0258278,0.662205
0.0258371,0.962725
0.025892,-0.0441329
0.0257957,0.561492
0.0259678,-0.421609
0.0259333,-0.935725
0.0257632,0.421267
0.025731,0.431381
0.0257537,0.995327
0.0260049,-0.894482
0.0259498,0.178594
0.0260203,-0.235386
0.0259449,0.485249
0.0256841,0.88609
0.0259911,-0.50113
0.0258443,-0.344325
0.0257419,0.42368
0.0259968,-0.876369
0.0258092,0.766669
0.0260448,-0.484069
0.0258085,-0.210985
0.0258705,0.49584
0.0257712,0.0427258
0.0258389,-0.357868
0.0260098,-0.630313
0.0260624,-0.871364
0.025972,0.230365
0.0259307,-0.73734
0.025908,0.847465
0.0259091,-0.574065
0.0259971,0.0489511
0.025908,0.649654
0.0260248,-0.373358
0.0259632,-0.00134478
0.026089,-0.973577
0.0259169,-0.428326
0.0260634,-0.436924
0.0258096,0.163762
0.0257729,0.407458
0.0258654,0.458316
0.0258343,-0.0672163
0.0257312,0.490155
0.0258111,0.388508
0.0258139,-0.0115541
0.0258406,0.831729
0.0259618,-0.406996
0.0259756,-0.246107
0.0258896,0.192809
0.0259135,-0.529613
0.025969,-0.450043
0.0259282,-0.0127567
